Count No.,Actual Angle (deg),VA (V),VB (V),State AB,FPGA Count,theta_interp_x10,Measured Angle (deg),base_theta_x10,T_period (cycles),T_phase (cycles),Quant Error (deg),Latency Error (deg),Mech Error (deg),Total Error (deg)
265,118.80,0.0,0.0,00,-1064,2375,236.70,2367,500,492,117.900000,0.010800,0.175261,118.086061
266,119.25,3.3,0.0,10,-1065,2384,237.60,2376,500,492,118.350000,0.010800,0.209855,118.570655
267,119.70,3.3,3.3,11,-1066,2393,238.50,2385,500,492,118.800000,0.010800,0.223726,119.034526
268,120.15,0.0,3.3,01,-1067,2402,239.40,2394,500,492,119.250000,0.010800,0.208298,119.469098
269,120.60,0.0,0.0,00,-1068,2411,240.30,2403,500,492,119.700000,0.010800,0.172148,119.882948
270,121.05,3.3,0.0,10,-1069,2420,241.20,2412,500,492,120.150000,0.010800,0.135988,120.296788
271,121.50,3.3,3.3,11,-1070,2429,242.10,2421,500,492,120.600000,0.010800,0.120528,120.731328
272,121.95,0.0,3.3,01,-1071,2438,243.00,2430,500,492,121.050000,0.010800,0.134347,121.195147
273,122.40,0.0,0.0,00,-1072,2447,243.90,2439,500,492,121.500000,0.010800,0.168866,121.679666
274,122.85,3.3,0.0,10,-1073,2456,244.80,2448,500,492,121.950000,0.010800,0.203374,122.164174
275,123.30,3.3,3.3,11,-1074,2465,245.70,2457,500,492,122.400000,0.010800,0.217161,122.627961
276,123.75,0.0,3.3,01,-1075,2474,246.60,2466,500,492,122.850000,0.010800,0.201649,123.062449
277,124.20,0.0,0.0,00,-1076,2483,247.50,2475,500,492,123.300000,0.010800,0.165416,123.476216
278,124.65,3.3,0.0,10,-1077,2492,248.40,2484,500,492,123.750000,0.010800,0.129173,123.889973
279,125.10,3.3,3.3,11,-1078,2501,249.30,2493,500,492,124.200000,0.010800,0.113630,124.324430
280,125.55,0.0,3.3,01,-1079,2510,250.20,2502,500,492,124.650000,0.010800,0.127366,124.788166
281,126.00,0.0,0.0,00,-1080,2519,251.10,2511,500,492,125.100000,0.010800,0.161803,125.272603
282,126.45,3.3,0.0,10,-1081,2528,252.00,2520,500,492,125.550000,0.010800,0.196230,125.757030
283,126.90,3.3,3.3,11,-1082,2537,252.90,2529,500,492,126.000000,0.010800,0.209937,126.220737
284,127.35,0.0,3.3,01,-1083,2546,253.80,2538,500,492,126.450000,0.010800,0.194344,126.655144
285,127.80,0.0,0.0,00,-1084,2555,254.70,2547,500,492,126.900000,0.010800,0.158031,127.068831
286,128.25,3.3,0.0,10,-1085,2564,255.60,2556,500,492,127.350000,0.010800,0.121708,127.482508
287,128.70,3.3,3.3,11,-1086,2573,256.50,2565,500,492,127.800000,0.010800,0.106086,127.916886
288,129.15,0.0,3.3,01,-1087,2582,257.40,2574,500,492,128.250000,0.010800,0.119744,128.380544
289,129.60,0.0,0.0,00,-1088,2591,258.30,2583,500,492,128.700000,0.010800,0.154103,128.864903
290,130.05,3.3,0.0,10,-1089,2600,259.20,2592,500,492,129.150000,0.010800,0.188452,129.349252
291,130.50,3.3,3.3,11,-1090,2609,260.10,2601,500,492,129.600000,0.010800,0.202081,129.812881
292,130.95,0.0,3.3,01,-1091,2618,261.00,2610,500,492,130.050000,0.010800,0.186412,130.247212
293,131.40,0.0,0.0,00,-1092,2627,261.90,2619,500,492,130.500000,0.010800,0.150022,130.660822
294,131.85,3.3,0.0,10,-1093,2636,262.80,2628,500,492,130.950000,0.010800,0.113623,131.074423
295,132.30,3.3,3.3,11,-1094,2645,263.70,2637,500,492,131.400000,0.010800,0.097926,131.508726
296,132.75,0.0,3.3,01,-1095,2654,264.60,2646,500,492,131.850000,0.010800,0.111509,131.972309
297,133.20,0.0,0.0,00,-1096,2663,265.50,2655,500,492,132.300000,0.010800,0.145794,132.456594
298,133.65,3.3,0.0,10,-1097,2672,266.40,2664,500,492,132.750000,0.010800,0.180069,132.940869
299,134.10,3.3,3.3,11,-1098,2681,267.30,2673,500,492,133.200000,0.010800,0.193625,133.404425
300,134.55,0.0,3.3,01,-1099,2690,268.20,2682,500,492,133.650000,0.010800,0.177883,133.838683
301,135.00,0.0,0.0,00,-1100,2699,269.10,2691,500,492,134.100000,0.010800,0.141421,134.252221
302,135.45,3.3,0.0,10,-1101,2708,270.00,2700,500,492,134.550000,0.010800,0.104951,134.665751
303,135.90,3.3,3.3,11,-1102,2717,270.90,2709,500,492,135.000000,0.010800,0.089183,135.099983
304,136.35,0.0,3.3,01,-1103,2726,271.80,2718,500,492,135.450000,0.010800,0.102695,135.563495
305,136.80,0.0,0.0,00,-1104,2735,272.70,2727,500,492,135.900000,0.010800,0.136909,136.047709
306,137.25,3.3,0.0,10,-1105,2744,273.60,2736,500,492,136.350000,0.010800,0.171115,136.531915
307,137.70,3.3,3.3,11,-1106,2753,274.50,2745,500,492,136.800000,0.010800,0.184603,136.995403
308,138.15,0.0,3.3,01,-1107,2762,275.40,2754,500,492,137.250000,0.010800,0.168792,137.429592
309,138.60,0.0,0.0,00,-1108,2771,276.30,2763,500,492,137.700000,0.010800,0.132262,137.843062
310,139.05,3.3,0.0,10,-1109,2780,277.20,2772,500,492,138.150000,0.010800,0.095725,138.256525
311,139.50,3.3,3.3,11,-1110,2789,278.10,2781,500,492,138.600000,0.010800,0.079890,138.690690
312,139.95,0.0,3.3,01,-1111,2798,279.00,2790,500,492,139.050000,0.010800,0.093336,139.154136
313,140.40,0.0,0.0,00,-1112,2807,279.90,2799,500,492,139.500000,0.010800,0.127485,139.638285
314,140.85,3.3,0.0,10,-1113,2816,280.80,2808,500,492,139.950000,0.010800,0.161626,140.122426
315,141.30,3.3,3.3,11,-1114,2825,281.70,2817,500,492,140.400000,0.010800,0.175049,140.585849
316,141.75,0.0,3.3,01,-1115,2834,282.60,2826,500,492,140.850000,0.010800,0.159174,141.019974
317,142.20,0.0,0.0,00,-1116,2843,283.50,2835,500,492,141.300000,0.010800,0.122581,141.433381
318,142.65,3.3,0.0,10,-1117,2852,284.40,2844,500,492,141.750000,0.010800,0.085981,141.846781
319,143.10,3.3,3.3,11,-1118,2861,285.30,2853,500,492,142.200000,0.010800,0.070084,142.280884
320,143.55,0.0,3.3,01,-1119,2870,286.20,2862,500,492,142.650000,0.010800,0.083469,142.744269
321,144.00,0.0,0.0,00,-1120,2879,287.10,2871,500,492,143.100000,0.010800,0.117557,143.228357
322,144.45,3.3,0.0,10,-1121,2888,288.00,2880,500,492,143.550000,0.010800,0.151638,143.712438
323,144.90,3.3,3.3,11,-1122,2897,288.90,2889,500,492,144.000000,0.010800,0.165001,144.175801
324,145.35,0.0,3.3,01,-1123,2906,289.80,2898,500,492,144.450000,0.010800,0.149068,144.609868
325,145.80,0.0,0.0,00,-1124,2915,290.70,2907,500,492,144.900000,0.010800,0.112417,145.023217
326,146.25,3.3,0.0,10,-1125,2924,291.60,2916,500,492,145.350000,0.010800,0.075759,145.436559
327,146.70,3.3,3.3,11,-1126,2933,292.50,2925,500,492,145.800000,0.010800,0.059805,145.870605
328,147.15,0.0,3.3,01,-1127,2942,293.40,2934,500,492,146.250000,0.010800,0.073133,146.333933
329,147.60,0.0,0.0,00,-1128,2951,294.30,2943,500,492,146.700000,0.010800,0.107165,146.817965
330,148.05,3.3,0.0,10,-1129,2960,295.20,2952,500,492,147.150000,0.010800,0.141191,147.301991
331,148.50,3.3,3.3,11,-1130,2969,296.10,2961,500,492,147.600000,0.010800,0.154500,147.765300
332,148.95,0.0,3.3,01,-1131,2978,297.00,2970,500,492,148.050000,0.010800,0.138513,148.199313
333,149.40,0.0,0.0,00,-1132,2987,297.90,2979,500,492,148.500000,0.010800,0.101808,148.612608
334,149.85,3.3,0.0,10,-1133,2996,298.80,2988,500,492,148.950000,0.010800,0.065098,149.025898
335,150.30,3.3,3.3,11,-1134,3005,299.70,2997,500,492,149.400000,0.010800,0.049092,149.459892
336,150.75,0.0,3.3,01,-1135,3014,300.60,3006,500,492,149.850000,0.010800,0.062369,149.923169
337,151.20,0.0,0.0,00,-1136,3023,301.50,3015,500,492,150.300000,0.010800,0.096351,150.407151
338,151.65,3.3,0.0,10,-1137,3032,302.40,3024,500,492,150.750000,0.010800,0.130327,150.891127
339,152.10,3.3,3.3,11,-1138,3041,303.30,3033,500,492,151.200000,0.010800,0.143586,151.354386
340,152.55,0.0,3.3,01,-1139,3050,304.20,3042,500,492,151.650000,0.010800,0.127550,151.788350
341,153.00,0.0,0.0,00,-1140,3059,305.10,3051,500,492,152.100000,0.010800,0.090798,152.201598
342,153.45,3.3,0.0,10,-1141,3068,306.00,3060,500,492,152.550000,0.010800,0.054040,152.614840
343,153.90,3.3,3.3,11,-1142,3077,306.90,3069,500,492,153.000000,0.010800,0.037988,153.048788
344,154.35,0.0,3.3,01,-1143,3086,307.80,3078,500,492,153.450000,0.010800,0.051219,153.512019
345,154.80,0.0,0.0,00,-1144,3095,308.70,3087,500,492,153.900000,0.010800,0.085156,153.995956
346,155.25,3.3,0.0,10,-1145,3104,309.60,3096,500,492,154.350000,0.010800,0.119087,154.479887
347,155.70,3.3,3.3,11,-1146,3113,310.50,3105,500,492,154.800000,0.010800,0.132303,154.943103
348,156.15,0.0,3.3,01,-1147,3122,311.40,3114,500,492,155.250000,0.010800,0.116224,155.377024
349,156.60,0.0,0.0,00,-1148,3131,312.30,3123,500,492,155.700000,0.010800,0.079430,155.790230
350,157.05,3.3,0.0,10,-1149,3140,313.20,3132,500,492,156.150000,0.010800,0.042630,156.203430
351,157.50,3.3,3.3,11,-1150,3149,314.10,3141,500,492,156.600000,0.010800,0.026537,156.637337
352,157.95,0.0,3.3,01,-1151,3158,315.00,3150,500,492,157.050000,0.010800,0.039728,157.100528
353,158.40,0.0,0.0,00,-1152,3167,315.90,3159,500,492,157.500000,0.010800,0.073625,157.584425
354,158.85,3.3,0.0,10,-1153,3176,316.80,3168,500,492,157.950000,0.010800,0.107518,158.068318
355,159.30,3.3,3.3,11,-1154,3185,317.70,3177,500,492,158.400000,0.010800,0.120695,158.531495
356,159.75,0.0,3.3,01,-1155,3194,318.60,3186,500,492,158.850000,0.010800,0.104579,158.965379
357,160.20,0.0,0.0,00,-1156,3203,319.50,3195,500,492,159.300000,0.010800,0.067748,159.378548
358,160.65,3.3,0.0,10,-1157,3212,320.40,3204,500,492,159.750000,0.010800,0.030912,159.791712
359,161.10,3.3,3.3,11,-1158,3221,321.30,3213,500,492,160.200000,0.010800,0.014783,160.225583
360,161.55,0.0,3.3,01,-1159,3230,322.20,3222,500,492,160.650000,0.010800,0.027940,160.688740
361,162.00,0.0,0.0,00,-1160,3239,323.10,3231,500,492,161.100000,0.010800,0.061803,161.172603
362,162.45,3.3,0.0,10,-1161,3248,324.00,3240,500,492,161.550000,0.010800,0.095663,161.656463
363,162.90,3.3,3.3,11,-1162,3257,324.90,3249,500,492,162.000000,0.010800,0.108808,162.119608
364,163.35,0.0,3.3,01,-1163,3266,325.80,3258,500,492,162.450000,0.010800,0.092660,162.553460
365,163.80,0.0,0.0,00,-1164,3275,326.70,3267,500,492,162.900000,0.010800,0.055798,162.966598
366,164.25,3.3,0.0,10,-1165,3284,327.60,3276,500,492,163.350000,0.010800,0.018933,163.379733
367,164.70,3.3,3.3,11,-1166,3293,328.50,3285,500,492,163.800000,0.010800,0.002775,163.813575
368,165.15,0.0,3.3,01,-1167,3302,329.40,3294,500,492,164.250000,0.010800,0.015903,164.276703
369,165.60,0.0,0.0,00,-1168,3311,330.30,3303,500,492,164.700000,0.010800,0.049738,164.760538
370,166.05,3.3,0.0,10,-1169,3320,331.20,3312,500,492,165.150000,0.010800,0.083570,165.244370
371,166.50,3.3,3.3,11,-1170,3329,332.10,3321,500,492,165.600000,0.010800,0.096689,165.707489
372,166.95,0.0,3.3,01,-1171,3338,333.00,3330,500,492,166.050000,0.010800,0.080516,166.141316
373,167.40,0.0,0.0,00,-1172,3347,333.90,3339,500,492,166.500000,0.010800,0.043629,166.554429
374,167.85,3.3,0.0,10,-1173,3356,334.80,3348,500,492,166.950000,0.010800,0.006739,166.967539
375,168.30,3.3,3.3,11,-1174,3365,335.70,3357,500,492,167.400000,0.010800,-0.009443,167.401357
376,168.75,0.0,3.3,01,-1175,3374,336.60,3366,500,492,167.850000,0.010800,0.003663,167.864463
377,169.20,0.0,0.0,00,-1176,3383,337.50,3375,500,492,168.300000,0.010800,0.037476,168.348276
378,169.65,3.3,0.0,10,-1177,3392,338.40,3384,500,492,168.750000,0.010800,0.071287,168.832087
379,170.10,3.3,3.3,11,-1178,3401,339.30,3393,500,492,169.200000,0.010800,0.084386,169.295186
380,170.55,0.0,3.3,01,-1179,3410,340.20,3402,500,492,169.650000,0.010800,0.068193,169.728993
381,171.00,0.0,0.0,00,-1180,3419,341.10,3411,500,492,170.100000,0.010800,0.031287,170.142087
382,171.45,3.3,0.0,10,-1181,3428,342.00,3420,500,492,170.550000,0.010800,-0.005621,170.555179
383,171.90,3.3,3.3,11,-1182,3437,342.90,3429,500,492,171.000000,0.010800,-0.021820,170.988980
384,172.35,0.0,3.3,01,-1183,3446,343.80,3438,500,492,171.450000,0.010800,-0.008731,171.452069
385,172.80,0.0,0.0,00,-1184,3455,344.70,3447,500,492,171.900000,0.010800,0.025067,171.935867
386,173.25,3.3,0.0,10,-1185,3464,345.60,3456,500,492,172.350000,0.010800,0.058863,172.419663
387,173.70,3.3,3.3,11,-1186,3473,346.50,3465,500,492,172.800000,0.010800,0.071947,172.882747
388,174.15,0.0,3.3,01,-1187,3482,347.40,3474,500,492,173.250000,0.010800,0.055740,173.316540
389,174.60,0.0,0.0,00,-1188,3491,348.30,3483,500,492,173.700000,0.010800,0.018822,173.729622
390,175.05,3.3,0.0,10,-1189,3500,349.20,3492,500,492,174.150000,0.010800,-0.018098,174.142702
391,175.50,3.3,3.3,11,-1190,3509,350.10,3501,500,492,174.600000,0.010800,-0.034308,174.576492
392,175.95,0.0,3.3,01,-1191,3518,351.00,3510,500,492,175.050000,0.010800,-0.021230,175.039570
393,176.40,0.0,0.0,00,-1192,3527,351.90,3519,500,492,175.500000,0.010800,0.012558,175.523358
394,176.85,3.3,0.0,10,-1193,3536,352.80,3528,500,492,175.950000,0.010800,0.046345,176.007145
395,177.30,3.3,3.3,11,-1194,3545,353.70,3537,500,492,176.400000,0.010800,0.059421,176.470221
396,177.75,0.0,3.3,01,-1195,3554,354.60,3546,500,492,176.850000,0.010800,0.043207,176.904007
397,178.20,0.0,0.0,00,-1196,3563,355.50,3555,500,492,177.300000,0.010800,0.006282,177.317082
398,178.65,3.3,0.0,10,-1197,3572,356.40,3564,500,492,177.750000,0.010800,-0.030643,177.730157
399,179.10,3.3,3.3,11,-1198,3581,357.30,3573,500,492,178.200000,0.010800,-0.046859,178.163941
400,179.55,0.0,3.3,01,-1199,3590,358.20,3582,500,492,178.650000,0.010800,-0.033785,178.627015
401,180.00,0.0,0.0,00,-1200,3599,359.10,3591,500,492,179.100000,0.010800,-0.000000,179.110800
402,180.45,3.3,0.0,10,-1201,8,0.00,0,500,492,-180.450000,0.010800,0.033785,-180.405415
403,180.90,3.3,3.3,11,-1202,17,0.90,9,500,492,-180.000000,0.010800,0.046859,-179.942341
404,181.35,0.0,3.3,01,-1203,26,1.80,18,500,492,-179.550000,0.010800,0.030643,-179.508557
405,181.80,0.0,0.0,00,-1204,35,2.70,27,500,492,-179.100000,0.010800,-0.006282,-179.095482
406,182.25,3.3,0.0,10,-1205,44,3.60,36,500,492,-178.650000,0.010800,-0.043207,-178.682407
407,182.70,3.3,3.3,11,-1206,53,4.50,45,500,492,-178.200000,0.010800,-0.059421,-178.248621
408,183.15,0.0,3.3,01,-1207,62,5.40,54,500,492,-177.750000,0.010800,-0.046345,-177.785545
409,183.60,0.0,0.0,00,-1208,71,6.30,63,500,492,-177.300000,0.010800,-0.012558,-177.301758
410,184.05,3.3,0.0,10,-1209,80,7.20,72,500,492,-176.850000,0.010800,0.021230,-176.817970
411,184.50,3.3,3.3,11,-1210,89,8.10,81,500,492,-176.400000,0.010800,0.034308,-176.354892
412,184.95,0.0,3.3,01,-1211,98,9.00,90,500,492,-175.950000,0.010800,0.018098,-175.921102
413,185.40,0.0,0.0,00,-1212,107,9.90,99,500,492,-175.500000,0.010800,-0.018822,-175.508022
414,185.85,3.3,0.0,10,-1213,116,10.80,108,500,492,-175.050000,0.010800,-0.055740,-175.094940
415,186.30,3.3,3.3,11,-1214,125,11.70,117,500,492,-174.600000,0.010800,-0.071947,-174.661147
416,186.75,0.0,3.3,01,-1215,134,12.60,126,500,492,-174.150000,0.010800,-0.058863,-174.198063
417,187.20,0.0,0.0,00,-1216,143,13.50,135,500,492,-173.700000,0.010800,-0.025067,-173.714267
418,187.65,3.3,0.0,10,-1217,152,14.40,144,500,492,-173.250000,0.010800,0.008731,-173.230469
419,188.10,3.3,3.3,11,-1218,161,15.30,153,500,492,-172.800000,0.010800,0.021820,-172.767380
420,188.55,0.0,3.3,01,-1219,170,16.20,162,500,492,-172.350000,0.010800,0.005621,-172.333579
421,189.00,0.0,0.0,00,-1220,179,17.10,171,500,492,-171.900000,0.010800,-0.031287,-171.920487
422,189.45,3.3,0.0,10,-1221,188,18.00,180,500,492,-171.450000,0.010800,-0.068193,-171.507393
423,189.90,3.3,3.3,11,-1222,197,18.90,189,500,492,-171.000000,0.010800,-0.084386,-171.073586
424,190.35,0.0,3.3,01,-1223,206,19.80,198,500,492,-170.550000,0.010800,-0.071287,-170.610487
425,190.80,0.0,0.0,00,-1224,215,20.70,207,500,492,-170.100000,0.010800,-0.037476,-170.126676
426,191.25,3.3,0.0,10,-1225,224,21.60,216,500,492,-169.650000,0.010800,-0.003663,-169.642863
427,191.70,3.3,3.3,11,-1226,233,22.50,225,500,492,-169.200000,0.010800,0.009443,-169.179757
428,192.15,0.0,3.3,01,-1227,242,23.40,234,500,492,-168.750000,0.010800,-0.006739,-168.745939
429,192.60,0.0,0.0,00,-1228,251,24.30,243,500,492,-168.300000,0.010800,-0.043629,-168.332829
430,193.05,3.3,0.0,10,-1229,260,25.20,252,500,492,-167.850000,0.010800,-0.080516,-167.919716
431,193.50,3.3,3.3,11,-1230,269,26.10,261,500,492,-167.400000,0.010800,-0.096689,-167.485889
432,193.95,0.0,3.3,01,-1231,278,27.00,270,500,492,-166.950000,0.010800,-0.083570,-167.022770
433,194.40,0.0,0.0,00,-1232,287,27.90,279,500,492,-166.500000,0.010800,-0.049738,-166.538938
434,194.85,3.3,0.0,10,-1233,296,28.80,288,500,492,-166.050000,0.010800,-0.015903,-166.055103
435,195.30,3.3,3.3,11,-1234,305,29.70,297,500,492,-165.600000,0.010800,-0.002775,-165.591975
436,195.75,0.0,3.3,01,-1235,314,30.60,306,500,492,-165.150000,0.010800,-0.018933,-165.158133
437,196.20,0.0,0.0,00,-1236,323,31.50,315,500,492,-164.700000,0.010800,-0.055798,-164.744998
438,196.65,3.3,0.0,10,-1237,332,32.40,324,500,492,-164.250000,0.010800,-0.092660,-164.331860
439,197.10,3.3,3.3,11,-1238,341,33.30,333,500,492,-163.800000,0.010800,-0.108808,-163.898008
440,197.55,0.0,3.3,01,-1239,350,34.20,342,500,492,-163.350000,0.010800,-0.095663,-163.434863
441,198.00,0.0,0.0,00,-1240,359,35.10,351,500,492,-162.900000,0.010800,-0.061803,-162.951003
442,198.45,3.3,0.0,10,-1241,368,36.00,360,500,492,-162.450000,0.010800,-0.027940,-162.467140
443,198.90,3.3,3.3,11,-1242,377,36.90,369,500,492,-162.000000,0.010800,-0.014783,-162.003983
444,199.35,0.0,3.3,01,-1243,386,37.80,378,500,492,-161.550000,0.010800,-0.030912,-161.570112
445,199.80,0.0,0.0,00,-1244,395,38.70,387,500,492,-161.100000,0.010800,-0.067748,-161.156948
446,200.25,3.3,0.0,10,-1245,404,39.60,396,500,492,-160.650000,0.010800,-0.104579,-160.743779
447,200.70,3.3,3.3,11,-1246,413,40.50,405,500,492,-160.200000,0.010800,-0.120695,-160.309895
448,201.15,0.0,3.3,01,-1247,422,41.40,414,500,492,-159.750000,0.010800,-0.107518,-159.846718
449,201.60,0.0,0.0,00,-1248,431,42.30,423,500,492,-159.300000,0.010800,-0.073625,-159.362825
450,202.05,3.3,0.0,10,-1249,440,43.20,432,500,492,-158.850000,0.010800,-0.039728,-158.878928
451,202.50,3.3,3.3,11,-1250,449,44.10,441,500,492,-158.400000,0.010800,-0.026537,-158.415737
452,202.95,0.0,3.3,01,-1251,458,45.00,450,500,492,-157.950000,0.010800,-0.042630,-157.981830
453,203.40,0.0,0.0,00,-1252,467,45.90,459,500,492,-157.500000,0.010800,-0.079430,-157.568630
454,203.85,3.3,0.0,10,-1253,476,46.80,468,500,492,-157.050000,0.010800,-0.116224,-157.155424
455,204.30,3.3,3.3,11,-1254,485,47.70,477,500,492,-156.600000,0.010800,-0.132303,-156.721503
456,204.75,0.0,3.3,01,-1255,494,48.60,486,500,492,-156.150000,0.010800,-0.119087,-156.258287
457,205.20,0.0,0.0,00,-1256,503,49.50,495,500,492,-155.700000,0.010800,-0.085156,-155.774356
458,205.65,3.3,0.0,10,-1257,512,50.40,504,500,492,-155.250000,0.010800,-0.051219,-155.290419
459,206.10,3.3,3.3,11,-1258,521,51.30,513,500,492,-154.800000,0.010800,-0.037988,-154.827188
460,206.55,0.0,3.3,01,-1259,530,52.20,522,500,492,-154.350000,0.010800,-0.054040,-154.393240
461,207.00,0.0,0.0,00,-1260,539,53.10,531,500,492,-153.900000,0.010800,-0.090798,-153.979998
462,207.45,3.3,0.0,10,-1261,548,54.00,540,500,492,-153.450000,0.010800,-0.127550,-153.566750
463,207.90,3.3,3.3,11,-1262,557,54.90,549,500,492,-153.000000,0.010800,-0.143586,-153.132786
464,208.35,0.0,3.3,01,-1263,566,55.80,558,500,492,-152.550000,0.010800,-0.130327,-152.669527
465,208.80,0.0,0.0,00,-1264,575,56.70,567,500,492,-152.100000,0.010800,-0.096351,-152.185551
466,209.25,3.3,0.0,10,-1265,584,57.60,576,500,492,-151.650000,0.010800,-0.062369,-151.701569
467,209.70,3.3,3.3,11,-1266,593,58.50,585,500,492,-151.200000,0.010800,-0.049092,-151.238292
468,210.15,0.0,3.3,01,-1267,602,59.40,594,500,492,-150.750000,0.010800,-0.065098,-150.804298
469,210.60,0.0,0.0,00,-1268,611,60.30,603,500,492,-150.300000,0.010800,-0.101808,-150.391008
470,211.05,3.3,0.0,10,-1269,620,61.20,612,500,492,-149.850000,0.010800,-0.138513,-149.977713
471,211.50,3.3,3.3,11,-1270,629,62.10,621,500,492,-149.400000,0.010800,-0.154500,-149.543700
472,211.95,0.0,3.3,01,-1271,638,63.00,630,500,492,-148.950000,0.010800,-0.141191,-149.080391
473,212.40,0.0,0.0,00,-1272,647,63.90,639,500,492,-148.500000,0.010800,-0.107165,-148.596365
474,212.85,3.3,0.0,10,-1273,656,64.80,648,500,492,-148.050000,0.010800,-0.073133,-148.112333
475,213.30,3.3,3.3,11,-1274,665,65.70,657,500,492,-147.600000,0.010800,-0.059805,-147.649005
476,213.75,0.0,3.3,01,-1275,674,66.60,666,500,492,-147.150000,0.010800,-0.075759,-147.214959
477,214.20,0.0,0.0,00,-1276,683,67.50,675,500,492,-146.700000,0.010800,-0.112417,-146.801617
478,214.65,3.3,0.0,10,-1277,692,68.40,684,500,492,-146.250000,0.010800,-0.149068,-146.388268
479,215.10,3.3,3.3,11,-1278,701,69.30,693,500,492,-145.800000,0.010800,-0.165001,-145.954201
480,215.55,0.0,3.3,01,-1279,710,70.20,702,500,492,-145.350000,0.010800,-0.151638,-145.490838
481,216.00,0.0,0.0,00,-1280,719,71.10,711,500,492,-144.900000,0.010800,-0.117557,-145.006757
482,216.45,3.3,0.0,10,-1281,728,72.00,720,500,492,-144.450000,0.010800,-0.083469,-144.522669
483,216.90,3.3,3.3,11,-1282,737,72.90,729,500,492,-144.000000,0.010800,-0.070084,-144.059284
484,217.35,0.0,3.3,01,-1283,746,73.80,738,500,492,-143.550000,0.010800,-0.085981,-143.625181
485,217.80,0.0,0.0,00,-1284,755,74.70,747,500,492,-143.100000,0.010800,-0.122581,-143.211781
486,218.25,3.3,0.0,10,-1285,764,75.60,756,500,492,-142.650000,0.010800,-0.159174,-142.798374
487,218.70,3.3,3.3,11,-1286,773,76.50,765,500,492,-142.200000,0.010800,-0.175049,-142.364249
488,219.15,0.0,3.3,01,-1287,782,77.40,774,500,492,-141.750000,0.010800,-0.161626,-141.900826
489,219.60,0.0,0.0,00,-1288,791,78.30,783,500,492,-141.300000,0.010800,-0.127485,-141.416685
490,220.05,3.3,0.0,10,-1289,800,79.20,792,500,492,-140.850000,0.010800,-0.093336,-140.932536
491,220.50,3.3,3.3,11,-1290,809,80.10,801,500,492,-140.400000,0.010800,-0.079890,-140.469090
492,220.95,0.0,3.3,01,-1291,818,81.00,810,500,492,-139.950000,0.010800,-0.095725,-140.034925
493,221.40,0.0,0.0,00,-1292,827,81.90,819,500,492,-139.500000,0.010800,-0.132262,-139.621462
494,221.85,3.3,0.0,10,-1293,836,82.80,828,500,492,-139.050000,0.010800,-0.168792,-139.207992
495,222.30,3.3,3.3,11,-1294,845,83.70,837,500,492,-138.600000,0.010800,-0.184603,-138.773803
496,222.75,0.0,3.3,01,-1295,854,84.60,846,500,492,-138.150000,0.010800,-0.171115,-138.310315
497,223.20,0.0,0.0,00,-1296,863,85.50,855,500,492,-137.700000,0.010800,-0.136909,-137.826109
498,223.65,3.3,0.0,10,-1297,872,86.40,864,500,492,-137.250000,0.010800,-0.102695,-137.341895
499,224.10,3.3,3.3,11,-1298,881,87.30,873,500,492,-136.800000,0.010800,-0.089183,-136.878383
500,224.55,0.0,3.3,01,-1299,890,88.20,882,500,492,-136.350000,0.010800,-0.104951,-136.444151
501,225.00,0.0,0.0,00,-1300,899,89.10,891,500,492,-135.900000,0.010800,-0.141421,-136.030621
502,225.45,3.3,0.0,10,-1301,908,90.00,900,500,492,-135.450000,0.010800,-0.177883,-135.617083
503,225.90,3.3,3.3,11,-1302,917,90.90,909,500,492,-135.000000,0.010800,-0.193625,-135.182825
504,226.35,0.0,3.3,01,-1303,926,91.80,918,500,492,-134.550000,0.010800,-0.180069,-134.719269
505,226.80,0.0,0.0,00,-1304,935,92.70,927,500,492,-134.100000,0.010800,-0.145794,-134.234994
506,227.25,3.3,0.0,10,-1305,944,93.60,936,500,492,-133.650000,0.010800,-0.111509,-133.750709
507,227.70,3.3,3.3,11,-1306,953,94.50,945,500,492,-133.200000,0.010800,-0.097926,-133.287126
508,228.15,0.0,3.3,01,-1307,962,95.40,954,500,492,-132.750000,0.010800,-0.113623,-132.852823
509,228.60,0.0,0.0,00,-1308,971,96.30,963,500,492,-132.300000,0.010800,-0.150022,-132.439222
510,229.05,3.3,0.0,10,-1309,980,97.20,972,500,492,-131.850000,0.010800,-0.186412,-132.025612
511,229.50,3.3,3.3,11,-1310,989,98.10,981,500,492,-131.400000,0.010800,-0.202081,-131.591281
512,229.95,0.0,3.3,01,-1311,998,99.00,990,500,492,-130.950000,0.010800,-0.188452,-131.127652
513,230.40,0.0,0.0,00,-1312,1007,99.90,999,500,492,-130.500000,0.010800,-0.154103,-130.643303
514,230.85,3.3,0.0,10,-1313,1016,100.80,1008,500,492,-130.050000,0.010800,-0.119744,-130.158944
515,231.30,3.3,3.3,11,-1314,1025,101.70,1017,500,492,-129.600000,0.010800,-0.106086,-129.695286
516,231.75,0.0,3.3,01,-1315,1034,102.60,1026,500,492,-129.150000,0.010800,-0.121708,-129.260908
517,232.20,0.0,0.0,00,-1316,1043,103.50,1035,500,492,-128.700000,0.010800,-0.158031,-128.847231
518,232.65,3.3,0.0,10,-1317,1052,104.40,1044,500,492,-128.250000,0.010800,-0.194344,-128.433544
